Informe de grupos de anuncios
25 de mayo de 2026 - 1 de junio de 2026
Estado del grupo de anuncios,Grupo de anuncios,Campaña,Código de moneda,CPV objetivo de TrueView,CPA objetivo,ROAS objetivo,CPM objetivo,Estado,Motivos del estado,Tipo de grupo de anuncios,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Inclusiones de marca,Ubicaciones de interés,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Detenido,Aires Acondicionado,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Dinámico,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Taiga TL Maxi,Search - Motos Taiga,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,22.18,"2,156",228,10.58%,0.21,47.82,[],[],0.00,0,0.00,228,19.64%,44.79,0.94,44.79,0.21,1.07,44.79
Habilitado,carritos,Display Remarketing - Carritos,USD, --, --, --, --,No apto,campaña detenida; desconocido,Red de Display,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Remarketing visitas hotsale 2026,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Total: Grupos de anuncios,,,,,,,,,,,USD,0.001,1.81,"2,624,693","779,602",29.70%,0.01,4744.30,,,"7,557.00",0.63,1.59,"54,855",0.27%,"20,916.46",4.41,"2,110.74",0.09,2.25,"20,916.46"
Total: Cuenta,,,,,,,,,,,USD,0.002,1.82,"4,652,692","1,205,256",25.90%,0.01,8462.28,,,"7,557.00",1.12,0.89,"89,068",0.29%,"25,229.78",2.98,"3,503.93",0.10,2.42,"25,229.78"
Total: Búsqueda,,,,,,,,,,,USD,0,30.59,"100,287","26,935",26.86%,0.11,3067.48,,,0.00,0,0.00,"26,935",3.05%,"19,628.34",6.40,822.62,0.11,3.73,"19,628.34"
Total: Video,,,,,,,,,,,USD,0.001,0.45,"1,514,305","582,346",38.46%,0.00,674.13,,,0.00,0,0.00,"2,492",0.01%,76.73,0.11,76.73,0.27,8.79,76.73
Total: Máximo rendimiento,,,,,,,,,,,USD,0.002,1.83,"2,027,999","425,654",20.99%,0.01,3717.98,,,0.00,0,0.00,"34,213",0.33%,"4,313.32",1.16,"1,393.20",0.11,2.67,"4,313.32"
Total: Anuncio gráfico,,,,,,,,,,,USD,0,0,0,0, --,0,0.00,,,0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Total: Generación de demanda,,,,,,,,,,,USD,0.001,0.99,"1,010,101","170,321",16.86%,0.01,1002.69,,,"7,557.00",0.13,7.54,"25,428",0.71%,"1,211.39",1.21,"1,211.39",0.04,0.83,"1,211.39"
