"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-01,2026-05-31,"VIDEO AO Audio Feb2025",active,1,actions:omni_landing_page_view,254.52,7000,Diario,254.52,150,146,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,-,-,-,"AO (AudioSoundbar)  | Target A+",,
2026-05-01,2026-05-31,"IMG AO Wearables Feb2025",active,3,actions:omni_landing_page_view,57.01666667,2000,Diario,171.05,144,131,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-01,2026-05-31,"IMG AO KitchenFeb2025",active,1,actions:omni_landing_page_view,61.64,2000,Diario,61.64,88,86,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-01,2026-05-31,"IMG AO Audio Feb2025",active,6,actions:omni_landing_page_view,41.19666667,7000,Diario,247.18,266,236,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,-,-,-,"AO (AudioSoundbar)  | Target A+",,
2026-05-01,2026-05-31,"VIDEO TV AO",active,,,,5000,Diario,3505.85,729,552,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,-,-,-,"TV | RMK WEB TV",,
2026-05-01,2026-05-31,"IMG TV AO",active,,,,5000,Diario,3977.58,1029,733,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,-,-,-,"TV | RMK WEB TV",,
2026-05-01,2026-05-31,"IMG Lanz A57 + A36  LANZAMIENTO Hasta 29/05",inactive,25,actions:offsite_conversion.fb_pixel_purchase,1476.1952,4216,Diario,36904.88,12050,4826,2026-06-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-22T17:50:17-0300,-,-,-,"Lanz A57 + A36 | RMK Celulares + LKL",,
2026-05-01,2026-05-31,"CARRUSEL Categorias AO Leads",active,7,actions:leadgen.other,1108.89857143,1500,Diario,7762.29,1776,1440,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-26T18:30:12-0300,-,-,-,"AO Leads | Target Samsung",,
2026-05-01,2026-05-31,"VIDEO AO leads Generica",active,,,,1500,Diario,177.28,34,33,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-26T18:30:12-0300,-,-,-,"AO Leads | Target Samsung",,
2026-05-01,2026-05-31,"IMG AO leads Generica",active,,,,1500,Diario,394.82,72,71,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-26T18:30:12-0300,-,-,-,"AO Leads | Target Samsung",,
2026-05-01,2026-05-31,"IMG MUNDIAL 2026 - Copia",active,,,,5000,Diario,19242.94,6177,2646,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"MUNDIAL 2026 TV |  RMK WEB TV",,
2026-05-01,2026-05-31,"VIDEO MUNDIAL 2026 - Copia",inactive,,,,5000,Diario,775.2,133,108,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"MUNDIAL 2026 TV |  RMK WEB TV",,
