"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-18,2026-05-25,"COLECCION c/img Wearables AO Feb2025",active,11,actions:omni_landing_page_view,129.87909091,2000,Diario,1428.67,1387,1227,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (Wearables)  | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) Kitchen",active,512,actions:omni_landing_page_view,24.73904297,2000,Diario,12666.39,21544,17097,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (Kitchen) | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) TV",active,2324,actions:omni_landing_page_view,17.9129475,7000,Diario,41629.69,78239,48484,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:51-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (TV)  | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) Accesorios",active,874,actions:omni_landing_page_view,14.78243707,2000,Diario,12919.85,20209,16607,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:31:03-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 20% de los anuncios menos relevantes","AO (Accesorios)  | Target A+",,
2026-05-18,2026-05-25,"COLECCION c/img Audio AO Feb2025",active,124,actions:omni_landing_page_view,76.9341129,7000,Diario,9539.83,11415,8211,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (AudioSoundbar)  | Target A+",,
2026-05-18,2026-05-25,"VIDEO AO Celulares Feb2025",active,8,actions:omni_landing_page_view,126.81125,7040,Diario,1014.49,182,141,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Celulares)  | Target A+",,
2026-05-18,2026-05-25,"COLECCION c/img Kitchen AO Feb2025",active,4,actions:omni_landing_page_view,21.2325,2000,Diario,84.93,145,141,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-18,2026-05-25,"Dinamico (img/video) Informatica Monitores",active,9,actions:omni_landing_page_view,46.17666667,1500,Diario,415.59,373,357,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:23-0300,-,-,-,"AO (InformaticaMonitores)  | Target A+",,
2026-05-18,2026-05-25,"Dinamico (img/video) Kitchen Heladeras ticket alto",active,1,actions:omni_landing_page_view,40.44,2000,Diario,40.44,42,40,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:31:15-0300,-,-,-,"AO (Electro Heladeras) | Target A+",,
2026-05-18,2026-05-25,"Dinamico (img/video) Wearables",active,,,,2000,Diario,341.94,311,306,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) Wearables",active,311,actions:omni_landing_page_view,36.13768489,2000,Diario,11238.82,16130,12480,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (Wearables)  | Target A+",,
2026-05-18,2026-05-25,"VIDEO AO Wearables Feb2025",active,1,actions:omni_landing_page_view,34.91,2000,Diario,34.91,28,28,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-18,2026-05-25,"COLECCION c/video Wearables AO Feb2025",active,4,actions:omni_landing_page_view,30.075,2000,Diario,120.3,154,138,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-18,2026-05-25,"VIDEO AO KitchenFeb2025",active,2,actions:omni_landing_page_view,124.455,2000,Diario,248.91,127,114,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-18,2026-05-25,"COLECCION c/video Kitchen AO Feb2025",active,2,actions:omni_landing_page_view,85.725,2000,Diario,171.45,270,222,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-18,2026-05-25,"Dinamico (img/video) Kitchen",active,1,actions:omni_landing_page_view,15.91,2000,Diario,15.91,16,14,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-18,2026-05-25,"VIDEO AO TV Feb2025",active,36,actions:omni_landing_page_view,46.02777778,7000,Diario,1657,1321,1221,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:51-0300,-,-,-,"AO (TV)  | Target A+",,
2026-05-18,2026-05-25,"COLECCION c/img TV AO Feb2025",active,8,actions:omni_landing_page_view,11.82375,7000,Diario,94.59,176,168,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:51-0300,-,-,-,"AO (TV)  | Target A+",,
2026-05-18,2026-05-25,"COLECCION c/video TV AO Feb2025",active,60,actions:omni_landing_page_view,23.20766667,7000,Diario,1392.46,2363,1657,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:51-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (TV)  | Target A+",,
2026-05-18,2026-05-25,"Dinamico (img/video) Accesorios",active,4,actions:omni_landing_page_view,28.9425,2000,Diario,115.77,135,135,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:31:03-0300,-,-,-,"AO (Accesorios)  | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) Audio Soundbar",active,1127,actions:omni_landing_page_view,31.05568767,7000,Diario,34999.76,50971,34810,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (AudioSoundbar)  | Target A+",,
2026-05-18,2026-05-25,"Dinamico (img/video) Audio Soundbar",active,5,actions:omni_landing_page_view,19.162,7000,Diario,95.81,161,139,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,-,-,-,"AO (AudioSoundbar)  | Target A+",,
2026-05-18,2026-05-25,"COLECCION c/video Audio AO Feb2025",active,34,actions:omni_landing_page_view,52.90852941,7000,Diario,1798.89,2251,1522,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (AudioSoundbar)  | Target A+",,
2026-05-18,2026-05-25,"DINAMICO (img/video) TV",active,5,actions:offsite_conversion.fb_pixel_purchase,4081.814,5000,Diario,20409.07,8131,5113,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,Promedio,Promedio,Promedio,"TV | RMK WEB TV",,
2026-05-18,2026-05-25,"DINAMICO (carrusel) TV",active,,,,5000,Diario,1808.95,544,453,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","TV | RMK WEB TV",,
2026-05-18,2026-05-25,"DINAMICO (carrusel) Celulares",active,5,actions:offsite_conversion.fb_pixel_purchase,3128.754,3000,Diario,15643.77,6358,3864,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:03-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","Celulares | RMK WEB Celulares",,
2026-05-18,2026-05-25,"DINAMICO (carrusel) Audio Soundbar",active,11,actions:offsite_conversion.fb_pixel_purchase,2314.70454545,5000,Diario,25461.75,8626,1714,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:55:51-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","Audio Soundbar | RMK WEB Audio",,
2026-05-18,2026-05-25,"DINAMICO (img/video) Audio Soundbar",active,,,,5000,Diario,778.86,211,144,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:55:51-0300,-,-,-,"Audio Soundbar | RMK WEB Audio",,
