# ----------------------------------------
# Adquisición de tráfico: Fuente/medio de la sesión
# Cuenta: Multipoint
# Propiedad: Multipoint 4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260501
# Fecha de finalización: 20260531
Fuente/medio de la sesión,Sesiones,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por sesión,Eventos por sesión,Número de eventos,Eventos clave,Tasa de evento clave de sesión,Total de ingresos
43c0957972390f67435736ec24ef4939.safeframe.googlesyndication.com / referral,1,1,1,11,7,0,0,0,0
63eb2970b0b69abf9d5e61dc1da364ef.safeframe.googlesyndication.com / referral,1,1,1,159,40,0,0,0,0
a2d4ca720d38f21b75c8ca121882f11c.safeframe.googlesyndication.com / referral,1,1,1,0,6,0,0,0,0
am1.connectif.cloud / referral,1,1,1,17,46,0,0,0,0
askboth.com / referral,1,1,1,33,37,0,0,0,0
casttv.com / referral,1,1,1,9,27,0,0,0,0
ced359e21f100a5213c7ad723a5e9e4d.claudemcpcontent.com / referral,1,1,1,568,283,1,1,1,930942.0007
clarocorpo.s1gateway.com / referral,1,1,1,0,13,0,0,0,0
club.qualiaseguros.com.ar / referral,1,1,1,57,41,0,0,0,0
colorof.com / referral,1,1,1,0,22,0,0,0,0
docs.google.com / referral,1,1,1,7,33,0,0,0,0
ecosia.org / organic,1,1,1,78,51,0,0,0,0
entireweb.com / referral,1,1,1,5,9,0,0,0,0
footballguys.com / referral,1,1,1,0,8,0,0,0,0
fooxx.com / referral,1,1,1,1,13,0,0,0,0
fresheye.com / referral,1,1,1,2,13,0,0,0,0
giapeto.com / referral,1,1,1,3,31,0,0,0,0
gobenefits-backoffice.gointegro.com / referral,1,1,1,156,243,3,0,1,0
gocuotas / (none),1,1,1,38,27,0,0,0,0
google / organic_social,1,1,1,191,75,0,0,0,0
hotsale.com.ar / referral,1,1,1,4,17,0,0,0,0
ig / paid,1,1,1,148,66,1,0,1,0
job.harvestermenuuk.com / referral,1,1,1,6,10,0,0,0,0
letrap.com.ar / referral,1,1,1,0,9,0,0,0,0
lexisweb.com / referral,1,1,1,0,10,0,0,0,0
linkedin.com / referral,1,1,1,13,17,0,0,0,0
lvv2.com / referral,1,1,1,0,10,0,0,0,0
m.facebook.com / paid,1,1,1,474,112,0,0,0,0
mercadopago / landing,1,1,1,248,104,0,0,0,0
mx.search.yahoo.com / referral,1,1,1,0,8,0,0,0,0
myphilipsperks.gointegro.com / referral,1,1,1,36,20,0,0,0,0
nacionservicios.gointegro.com / referral,1,1,1,127,260,4,0,1,0
onlinebanking.bancogalicia.com.ar / referral,1,1,1,103,48,0,0,0,0
pagina12.com.ar / referral,1,1,1,3,6,0,0,0,0
paradigma.gointegro.com / referral,1,1,1,11,18,0,0,0,0
parseek.com / referral,1,1,1,8,35,0,0,0,0
peekyou.com / referral,1,1,1,4,27,0,0,0,0
saas.upkuajing.com / referral,1,1,1,3,12,0,0,0,0
search.nortonsafesearch.com / referral,1,1,1,312,64,0,0,0,0
search.spacetime.com / referral,1,1,1,14,36,0,0,0,0
segurosenred.vismaunite.com / referral,1,1,1,32,20,0,0,0,0
shell] / cupon,1,1,1,0,15,0,0,0,0
slider.com / referral,1,1,1,22,38,0,0,0,0
somosrivadavia.vismaunite.com / referral,1,1,1,94,47,0,0,0,0
static.videoo.tv / referral,1,1,1,0,5,0,0,0,0
stellantisclub.gointegro.com / referral,1,1,1,97,67,0,0,0,0
tgs.gointegro.com / referral,1,1,1,305,65,0,0,0,0
titanpush / linkpage,1,1,1,0,3,0,0,0,0
webc-i.com / referral,1,1,1,5,13,0,0,0,0
whatsapp / mensaje,1,1,1,0,7,0,0,0,0
wipro.com / referral,1,1,1,0,7,0,0,0,0
wrike.com / referral,1,1,1,0,8,0,0,0,0
zhongsou.com / referral,1,1,1,7,30,0,0,0,0
